timestamp,status,bucket,relative_path,remote_path,bytes,message
2026-01-19T11:01:15.817Z,OK,archive-performance,Alex.png,Staff Images-performance-8ecd38e2dc/Alex.png,177073,
2026-01-19T11:01:16.759Z,OK,archive-performance,CaireFull.jpg,Staff Images-performance-8ecd38e2dc/CaireFull.jpg,132007,
2026-01-19T11:01:17.485Z,OK,archive-performance,CaireFull_250.jpg,Staff Images-performance-8ecd38e2dc/CaireFull_250.jpg,83323,
2026-01-19T11:01:17.825Z,OK,archive-performance,Cathryn.png,Staff Images-performance-8ecd38e2dc/Cathryn.png,183052,
2026-01-19T11:01:18.165Z,OK,archive-performance,Claire.png,Staff Images-performance-8ecd38e2dc/Claire.png,183673,
2026-01-19T11:01:18.466Z,OK,archive-performance,Claire_72.jpg,Staff Images-performance-8ecd38e2dc/Claire_72.jpg,132007,
2026-01-19T11:01:39.323Z,OK,archive-people,DSC_0025.NEF,Staff Images-people-8ecd38e2dc/DSC_0025.NEF,21839763,
2026-01-19T11:01:41.346Z,OK,archive-performance,Erica 72.jpg,Staff Images-performance-8ecd38e2dc/Erica 72.jpg,290025,
2026-01-19T11:01:43.191Z,OK,archive-performance,Erica.jpg,Staff Images-performance-8ecd38e2dc/Erica.jpg,1247353,
2026-01-19T11:01:43.655Z,OK,archive-performance,Julie.png,Staff Images-performance-8ecd38e2dc/Julie.png,176133,
2026-01-19T11:01:45.559Z,OK,archive-performance,Lauren.jpg,Staff Images-performance-8ecd38e2dc/Lauren.jpg,2160001,
2026-01-19T11:01:46.018Z,OK,archive-performance,Lauren72.jpg,Staff Images-performance-8ecd38e2dc/Lauren72.jpg,284835,
2026-01-19T11:01:46.244Z,OK,archive-performance,Paul 2.jpg,Staff Images-performance-8ecd38e2dc/Paul 2.jpg,126488,
2026-01-19T11:01:47.850Z,OK,archive-performance,Paul.jpg,Staff Images-performance-8ecd38e2dc/Paul.jpg,1547166,
2026-01-19T11:01:48.688Z,OK,archive-performance,Russell 5cm2.jpg,Staff Images-performance-8ecd38e2dc/Russell 5cm2.jpg,693098,
2026-01-19T11:01:49.412Z,OK,archive-performance,Russell Brown.jpg,Staff Images-performance-8ecd38e2dc/Russell Brown.jpg,507656,
2026-01-19T11:01:49.650Z,OK,archive-performance,Russell.png,Staff Images-performance-8ecd38e2dc/Russell.png,178741,
2026-01-19T11:01:49.659Z,SKIP,,Thumbs.db,,662016,SKIP_skip_ext:.db
2026-01-19T11:01:49.971Z,OK,archive-performance,Tom.png,Staff Images-performance-8ecd38e2dc/Tom.png,192648,
2026-01-19T11:01:50.575Z,OK,archive-performance,Vytas 5x5 (2).jpg,Staff Images-performance-8ecd38e2dc/Vytas 5x5 (2).jpg,399052,
2026-01-19T11:01:50.821Z,OK,archive-performance,Vytas 5x5 BW.jpg,Staff Images-performance-8ecd38e2dc/Vytas 5x5 BW.jpg,91384,
2026-01-19T11:01:51.035Z,OK,archive-performance,Vytas 5x5.jpg,Staff Images-performance-8ecd38e2dc/Vytas 5x5.jpg,100914,
2026-01-19T11:01:51.474Z,OK,archive-performance,Vytas.png,Staff Images-performance-8ecd38e2dc/Vytas.png,180656,
2026-01-19T11:01:51.787Z,OK,archive-performance,Wendy.png,Staff Images-performance-8ecd38e2dc/Wendy.png,200419,
2026-01-19T11:02:09.644Z,OK,archive-performance,_MG_2715.jpg,Staff Images-performance-8ecd38e2dc/_MG_2715.jpg,14702021,
2026-01-19T11:02:20.908Z,OK,archive-performance,_MG_2715BW.jpg,Staff Images-performance-8ecd38e2dc/_MG_2715BW.jpg,12051928,
2026-01-19T11:02:23.785Z,OK,archive-performance,_MG_2745 BWL.jpg,Staff Images-performance-8ecd38e2dc/_MG_2745 BWL.jpg,1912485,
2026-01-19T11:02:26.492Z,OK,archive-performance,_MG_2745 L.jpg,Staff Images-performance-8ecd38e2dc/_MG_2745 L.jpg,2217763,
2026-01-19T11:02:37.631Z,OK,archive-performance,_MG_2745.jpg,Staff Images-performance-8ecd38e2dc/_MG_2745.jpg,12878849,
2026-01-19T11:02:47.213Z,OK,archive-performance,_MG_2745BW.jpg,Staff Images-performance-8ecd38e2dc/_MG_2745BW.jpg,10104641,
2026-01-19T11:02:48.993Z,OK,archive-performance,_MG_2746 BW.jpg,Staff Images-performance-8ecd38e2dc/_MG_2746 BW.jpg,2144097,
2026-01-19T11:02:51.562Z,OK,archive-performance,_MG_2746 BWL.jpg,Staff Images-performance-8ecd38e2dc/_MG_2746 BWL.jpg,2144485,
2026-01-19T11:02:53.957Z,OK,archive-performance,_MG_2746 L.jpg,Staff Images-performance-8ecd38e2dc/_MG_2746 L.jpg,2471348,
2026-01-19T11:03:08.056Z,OK,archive-performance,_MG_2746.jpg,Staff Images-performance-8ecd38e2dc/_MG_2746.jpg,13691722,
